"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"2749","g18252",1.56740656998341,3.70870827259079,3.77363377680089,0.000416505245811723,0.00237464049385491,"FB",550,"scaffold_381",NA,NA,NA,NA,NA,NA,NA,"N"
"2750","g22626",2.53852729136179,0.549458955612699,3.77296731016169,0.000417226456684842,0.00237788736568056,"FB",887,"scaffold_6",NA,"A0A2P8ZG59","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"2751","g3579",1.68159471691953,1.13299164877644,3.77228294676983,0.000417964771021487,0.00238122931887305,"FB",1504,"scaffold_10",NA,NA,NA,NA,NA,NA,NA,"N"
"2752","g18585",1.55603301127684,1.84417231680877,3.77204473786525,0.00041822266693917,0.00238183279757907,"FB",482,"scaffold_240",NA,"A0A2J7PGJ2","PF13347","MFS/sugar transport protein",NA,NA,NA,"Y"
"2753","g4480",1.44235599733372,6.17225222326954,3.76966127786005,0.000420811713338839,0.00239570722236093,"FB",1911,"scaffold_94",NA,"A0A482XRX2","PF15993","Fuseless","IPR032751","Protein fuseless",NA,"Y"
"2754","g11788",-1.6300947938969,1.81639005540279,-3.76625862502328,0.000424535103402916,0.00241602711533547,"MB",724,"scaffold_86",NA,"A0A1W4WQT7","PF08205","CD80-like C2-set immunoglobulin domain","IPR013162","CD80-like, immunoglobulin C2-set",NA,"Y"
"2755","g2988",-1.36618506549915,1.90784923007332,-3.76486809289119,0.000426065984364662,0.00242385922793007,"MB",766,"scaffold_366","OAF_DROVI","K7J3M8","PF14941","Transcriptional regulator, Out at first","IPR026315","Out at first protein",NA,"Y"
"2756","g21166",1.8488013236756,0.436816827700202,3.76351399272025,0.000427561955294368,0.00243148712820342,"FB",253,"scaffold_98",NA,NA,NA,NA,NA,NA,NA,"N"
"2757","g3475",-1.47692858556756,0.370580683360516,-3.76140746663605,0.000429899420590484,0.00244389322412574,"MB",999,"scaffold_10","ALKB1_HUMAN","A0A2J7PTW8","PF13532","2OG-Fe(II) oxygenase superfamily","IPR027450","Alpha-ketoglutarate-dependent dioxygenase AlkB-like",NA,"Y"
"2758","g8889",-1.73051162353938,3.18352077897175,-3.76078974468352,0.000430587234985391,0.00244691578459972,"MB",4124,"scaffold_2","IF140_MOUSE","A0A482XLS8",NA,NA,NA,NA,NA,"Y"
"2759","g22675",2.75481382277001,-0.771587954387078,3.76037185432346,0.000431060642753893,0.00244871817828263,"FB",806,"scaffold_6",NA,"A0A2J7R4S8","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"2760","g20716",1.77907649124138,2.85460469021458,3.75851865810117,0.000433125302051575,0.00245955538371534,"FB",1309,"scaffold_131",NA,"A0A182FNJ0","PF01161","Phosphatidylethanolamine-binding protein","IPR008914","Phosphatidylethanolamine-binding protein",NA,"Y"
"2761","g5211",1.72039062387129,1.20550025201144,3.75836069275255,0.000433302381321115,0.0024596697654639,"FB",431,"scaffold_224",NA,NA,"PF01329","Pterin 4 alpha carbinolamine dehydratase","IPR001533","Pterin 4 alpha carbinolamine dehydratase","GO:0006729;GO:0008124","Y"
"2762","g21948",2.46348803784581,2.70418178690145,3.75576316012382,0.000436225496018062,0.0024753664732408,"FB",640,"scaffold_22",NA,NA,NA,NA,NA,NA,NA,"N"
"2763","g5440",1.9828472211282,1.10549146883307,3.75544201253124,0.000436587023943754,0.00247652132691656,"FB",949,"scaffold_648","CP4X1_MOUSE","J9K6X1","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"2764","g15771",1.74027098522513,1.12610957767474,3.75510859498562,0.00043696378996281,0.0024777617511169,"FB",566,"scaffold_59",NA,NA,NA,NA,NA,NA,NA,"N"
"2765","g15769",1.77631126900223,3.0075266146486,3.75323669570643,0.000439085014308103,0.00248797061460484,"FB",797,"scaffold_59",NA,NA,NA,NA,NA,NA,NA,"N"
"2766","g23186",-1.5168824133032,6.30430375777505,-3.7531460242408,0.000439188018237565,0.00248797061460484,"MB",1426,"scaffold_508","YELL_DROER","J9JJZ2","PF03022","Major royal jelly protein","IPR017996","Major royal jelly protein/protein yellow",NA,"Y"
"2767","g15953",2.42235642940297,-1.87240285069174,3.7531006222768,0.000439240393709667,0.00248797061460484,"FB",754,"scaffold_2086",NA,NA,NA,NA,NA,NA,NA,"N"
"2768","g12513",2.19752974010964,0.178018040989355,3.75282112914985,0.000439557391437348,0.00248886668930547,"FB",1030,"scaffold_283",NA,NA,NA,NA,NA,NA,NA,"N"
"2769","g185",4.96211825236472,-1.70994549680545,3.75520095451795,0.000439819837819046,0.0024894533471065,"FB",398,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"2770","g16834",3.4070514955651,-1.29588991987994,3.75001556324887,0.000442890166523634,0.00250592692416062,"FB",248,"scaffold_8",NA,NA,NA,NA,NA,NA,NA,"N"
"2771","g4886",2.76920895481453,2.85328830324576,3.74917876929744,0.00044372672559578,0.00250975422961482,"FB",485,"scaffold_584",NA,NA,NA,NA,NA,NA,NA,"N"
"2772","g12195",1.70955239842661,1.83395509647497,3.74672237841302,0.00044654592769181,0.0025247887174292,"FB",637,"scaffold_170",NA,NA,NA,NA,NA,NA,NA,"N"
"2773","g1337",1.6582601966997,4.30833908976711,3.74376213541874,0.000449977224432962,0.00254327192157873,"FB",2373,"scaffold_69","PK1R_DROME","W5JN91","PF02958;PF00001","Ecdysteroid kinase; 7 transmembrane receptor (rhodopsin family)","IPR004119;IPR000276","Ecdysteroid kinase-like; G protein-coupled receptor, rhodopsin-like","GO:0004930;GO:0007186;GO:0016021","Y"
"2774","g8446",1.75404656308831,1.53137437675473,3.74276848883149,0.000451134765277763,0.00254889516085017,"FB",1886,"scaffold_232",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"2775","g13962",2.94863664675102,2.72996049366688,3.74068911402781,0.000453589288976019,0.00256183961301663,"FB",337,"scaffold_632",NA,NA,NA,NA,NA,NA,NA,"N"
"2776","g4673",-1.51940830228881,3.36048330055444,-3.74009028014198,0.000454269265726568,0.00256475583635897,"MB",2213,"scaffold_181","CNGB3_MOUSE","A0A482WN14","PF00520;PF00027","Ion transport protein; Cyclic nucleotide-binding domain","IPR005821;IPR000595","Ion transport domain; Cyclic nucleotide-binding domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Y"
"2777","g3737",2.8731604556448,-0.7594815983117,3.73976095779856,0.000454671911287273,0.00256610474094542,"FB",661,"scaffold_190",NA,NA,NA,NA,NA,NA,NA,"N"
"2778","g19897",-1.36483233576159,8.31494844325534,-3.73933009900045,0.000455162839762954,0.00256724309696444,"MB",7250,"scaffold_408",NA,NA,"PF00498","FHA domain","IPR000253","Forkhead-associated (FHA) domain","GO:0005515","Y"
"2779","g5057",-1.54185246544316,1.66041382052443,-3.73929748929803,0.000455201210136168,0.00256724309696444,"MB",676,"scaffold_155",NA,NA,NA,NA,NA,NA,NA,"N"
"2780","g9420",-1.71244756334107,4.16305033565067,-3.73640637627834,0.000458615671904478,0.00258556957761111,"MB",872,"scaffold_676",NA,"J9KWC3",NA,NA,NA,NA,NA,"Y"
"2781","g14935",3.09683341488436,2.65404887591369,3.73315101426988,0.000462535888155511,0.00260673318053266,"FB",1646,"scaffold_324","EST6_APIME","J9K2J7","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"2782","g7522",-2.2540306147409,-1.6117449304829,-3.73164484154947,0.000464294069032979,0.00261570127388709,"MB",455,"scaffold_16",NA,NA,"PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"2783","g17541",3.19105268219494,3.64442265650782,3.73139365681301,0.000464662234614144,0.00261683478372529,"FB",2570,"scaffold_41",NA,NA,"PF12248","Farnesoic acid 0-methyl transferase","IPR022041","Farnesoic acid O-methyl transferase",NA,"Y"
"2784","g174",4.34636043326881,-1.9727626891613,3.73215291507573,0.0004649976914969,0.00261778334009731,"FB",2201,"scaffold_360",NA,"A0A2H4T2P1",NA,NA,NA,NA,NA,"Y"
"2785","g5240",1.53096126870235,2.02409351524725,3.73077604557597,0.000465337331476703,0.00261875475627805,"FB",643,"scaffold_658",NA,NA,NA,NA,NA,NA,NA,"N"
"2786","g22695",-1.30877492602986,8.71918442653976,-3.72852770917787,0.000468048328565804,0.00263239224778469,"MB",9737,"scaffold_6","KAT6B_HUMAN","A0A482WSN3","PF17772;PF01853;PF00294","MYST family zinc finger domain; MOZ/SAS family; pfkB family carbohydrate kinase","IPR040706;IPR002717;IPR011611","MYST, zinc finger domain; Histone acetyltransferase domain, MYST-type; Carbohydrate kinase PfkB","GO:0004402;GO:0006355;GO:0016573","Y"
"2787","g17256",2.09892597230676,1.28722218542498,3.72844737588763,0.00046814551204983,0.00263239224778469,"FB",1049,"scaffold_180",NA,NA,NA,NA,NA,NA,NA,"N"
"2788","g21170",1.68696026644054,4.54218997025521,3.72834897480675,0.000468264504997365,0.00263239224778469,"FB",796,"scaffold_98",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"2789","g3587",2.11649591853122,0.640459756548779,3.72800625132308,0.000468679339109608,0.00263377959192,"FB",235,"scaffold_2145",NA,NA,NA,NA,NA,NA,NA,"N"
"2790","g4039",-1.25017959071769,6.41055235308059,-3.72699123925925,0.000469909859257068,0.00263974810900933,"MB",1670,"scaffold_438","UBP3_MOUSE","A0A2J7PYF5","PF00443;PF02148","Ubiquitin carboxyl-terminal hydrolase; Zn-finger in ubiquitin-hydrolases and other protein","IPR001394;IPR001607","Peptidase C19, ubiquitin carboxyl-terminal hydrolase; Zinc finger, UBP-type","GO:0016579;GO:0036459;GO:0008270","Y"
"2791","g14241",3.98180030920456,2.37529021427148,3.72627937478222,0.000471440801984316,0.00264739938713729,"FB",1633,"scaffold_3","ESTF_MYZPE","J9JVS2","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"2792","g13514",-1.44058231643432,5.71150607559835,-3.72508382233804,0.000472230901653407,0.00265088643324278,"MB",1961,"scaffold_266",NA,"A0A2A4JW42,A0A2J7QWB8","PF00059","Lectin C-type domain","IPR001304","C-type lectin-like",NA,"Y"
"2793","g1943",2.79223290126445,-2.49605049083926,3.72238422846948,0.000475546282559475,0.00266854167080367,"FB",616,"scaffold_218",NA,NA,NA,NA,NA,NA,NA,"N"
"2794","g6568",-1.71563921813972,6.16527037330855,-3.72146715549623,0.000476662699238881,0.00267384913570901,"MB",646,"scaffold_52","GILT1_DROME","A0A1W4WEK1","PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)","IPR004911","Gamma interferon inducible lysosomal thiol reductase GILT",NA,"Y"
"2795","g3760",2.50233441277646,-0.620414068231785,3.72116098326768,0.000477041493125808,0.00267501657308079,"FB",318,"scaffold_777",NA,NA,NA,NA,NA,NA,NA,"N"
"2796","g9850",1.92029759109013,3.48354369678829,3.72099499392389,0.000477244275995926,0.0026751965442361,"FB",1271,"scaffold_47",NA,"A0A482WU47","PF02958","Ecdysteroid kinase","IPR004119","Ecdysteroid kinase-like",NA,"Y"
"2797","g15419",3.52082594376685,-1.07189786478784,3.72070817489156,0.000477811254490373,0.00267741715825085,"FB",894,"scaffold_133",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"2798","g1977",1.65258964973588,3.38657009809928,3.71937266356747,0.00047924783890053,0.00268450728344818,"FB",1530,"scaffold_218",NA,"A0A482VCQ2","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"2799","g188",5.44150113895483,-0.984330691434864,3.72320584148309,0.000480249829840708,0.00268915883640351,"FB (FC > 5)",362,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"2800","g11338",2.55312587897457,-1.58042505156755,3.71375980091204,0.00048624602958754,0.00272176215061626,"FB",2782,"scaffold_151",NA,NA,"PF07707;PF00651","BTB And C-terminal Kelch; BTB/POZ domain","IPR011705;IPR000210","BTB/Kelch-associated; BTB/POZ domain","GO:0005515","Y"
"2801","g308",1.72132726133602,1.72804271063269,3.7132813257372,0.000486844340380108,0.00272413828874596,"FB",1216,"scaffold_42",NA,NA,NA,NA,NA,NA,NA,"N"
"2802","g6375",-1.48153414619197,3.27984677072534,-3.71241368595384,0.000487935916012405,0.00272927181001514,"MB",1252,"scaffold_1457",NA,NA,"PF15280","Protein aurora borealis N-terminus","IPR023252","Aurora borealis protein",NA,"Y"
"2803","g19620",1.39101432697783,5.25174954832055,3.70901172994266,0.000492239060621326,0.00275235918555763,"FB",920,"scaffold_233","UBS3A_DROME","A0A1W4UJB5","PF00300","Histidine phosphatase superfamily (branch 1)","IPR013078","Histidine phosphatase superfamily, clade-1",NA,"Y"
"2804","g20199",2.39727660634519,2.33796644224105,3.70775475356972,0.000493839207107714,0.00275991221994002,"FB",1625,"scaffold_71","ESTE_MYZPE","A0A088A7H8","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"2805","g11103",3.33917236964759,-1.87380594607445,3.70777341873102,0.000493942051740686,0.00275991221994002,"FB",698,"scaffold_165",NA,NA,NA,NA,NA,NA,NA,"N"
"2806","g22914",2.10462709921299,-0.559557684841049,3.70617663188947,0.000495853573812548,0.00276960551046474,"FB",1151,"scaffold_37",NA,NA,NA,NA,NA,NA,NA,"N"
"2807","g12207",2.5176015071628,-2.15835446603559,3.70303202409685,0.000499895135005574,0.00279118505555481,"FB",1394,"scaffold_449",NA,"Q8A7P0","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"2808","g13969",2.49691839099342,0.139661665508917,3.70217873787467,0.000500996476504077,0.0027963382394047,"FB",1169,"scaffold_1314",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"2809","g19811",3.81971152609937,4.55982204131696,3.6993123555247,0.00050523126392482,0.00281897102153567,"FB",1709,"scaffold_60","MAL1_DROVI","J9K803","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
"2810","g19177",1.44223880088981,8.81258411913581,3.69833396472175,0.000505987962734597,0.00282218837720261,"FB",607,"scaffold_62","MLR_BOMMO","T1HIT1","PF13833","EF-hand domain pair","IPR002048","EF-hand domain","GO:0005509","Y"
"2811","g3071",1.79754722158965,4.38949711259445,3.69644379443105,0.000508460612702993,0.0028349708939502,"FB",2191,"scaffold_36",NA,NA,NA,NA,NA,NA,NA,"N"
"2812","g19494",1.88100356946591,1.85082949006301,3.69356806262526,0.000512245222470672,0.00285505667559845,"FB",1115,"scaffold_7","LST_PHOPY","J9KAR0","PF00685","Sulfotransferase domain","IPR000863","Sulfotransferase domain","GO:0008146","Y"
"2813","g12676",2.15667914164469,0.0677953770077837,3.69327647411622,0.000512630583501048,0.00285618881450833,"FB",302,"scaffold_272",NA,NA,NA,NA,NA,NA,NA,"N"
"2814","g7628",-1.24499971493132,5.15254127272576,-3.69206550875276,0.00051423360177471,0.00286410207555616,"MB",2007,"scaffold_663","SPOP_XENTR","T1JUD2","PF00651;PF00917","BTB/POZ domain; MATH domain","IPR000210;IPR002083","BTB/POZ domain; MATH/TRAF domain","GO:0005515","Y"
"2815","g18312",1.77987808171867,0.27870216778557,3.6875032830488,0.000520317316264577,0.00289695676654164,"FB",1575,"scaffold_891","UD18_RAT","A0A2J7QFA8","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"2816","g8223",1.96136133048955,2.31548319231925,3.68722491715452,0.000520690792037391,0.00289800667031322,"FB",1264,"scaffold_19","YVNF_AZOCH","F8L2U8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"2817","g7919",-1.7919603981821,0.412607317006629,-3.68467407230535,0.000524125356586297,0.00291608687035038,"MB",323,"scaffold_46",NA,NA,"PF05303","Protein of unknown function (DUF727)","IPR007967","GSKIP domain",NA,"Y"
"2818","g16166",-3.5568911471676,7.03405723983188,-3.68432664564385,0.000524874123701588,0.00291860135240597,"MB",760,"scaffold_54",NA,"J9JW80","PF07898","Protein of unknown function (DUF1676)","IPR012464","Protein of unknown function DUF1676",NA,"Y"
"2819","g22738",-1.28821695510994,8.8792761220663,-3.68406424054054,0.000524949736006662,0.00291860135240597,"MB",1592,"scaffold_196","TCPB_BOVIN","A0A2J7RCP8","PF00118","TCP-1/cpn60 chaperonin family","IPR002423","Chaperonin Cpn60/TCP-1 family","GO:0005524","Y"
"2820","g5673",2.17244735004454,2.73732979490326,3.68309135057752,0.000526267633183581,0.00292489099818662,"FB",870,"scaffold_555",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"2821","g10652",1.3474540759817,4.89313283764149,3.68099122555602,0.000529123212126927,0.00293971928524116,"FB",899,"scaffold_32",NA,"T0RCV6","PF05721","Phytanoyl-CoA dioxygenase (PhyH)","IPR008775","Phytanoyl-CoA dioxygenase",NA,"Y"
"2822","g14389",-1.33791612931295,6.77466208649196,-3.68019545532351,0.000530209228412303,0.00294470915553013,"MB",894,"scaffold_24","MAEA_XENLA","A0A2J7PI73","PF10607","CTLH/CRA C-terminal to LisH motif domain","IPR024964","CTLH/CRA C-terminal to LisH motif domain",NA,"Y"
"2823","g19063",-1.96396851951645,-0.986372068372361,-3.67972836774868,0.000530847701155188,0.00294721077584317,"MB",482,"scaffold_829","DRGX_MOUSE","A0A194QFU0","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677","Y"
"2824","g17625",1.90820139372375,-1.1976854723154,3.6795218970934,0.000531130163013648,0.00294773478927511,"FB",665,"scaffold_570",NA,NA,NA,NA,NA,NA,NA,"N"
"2825","g14326",2.11959091729656,-0.881987975133626,3.67765200089316,0.000533695064075762,0.00296092132363165,"FB",211,"scaffold_24",NA,NA,NA,NA,NA,NA,NA,"N"
"2826","g22531",-1.22265568786732,7.95624667010452,-3.67705643933582,0.000534514448027136,0.00296431953906993,"MB",2982,"scaffold_551","IDE_HUMAN","A0A067RBB4","PF00675;PF16187;PF05193","Insulinase (Peptidase family M16); Middle or third domain of peptidase_M16; Peptidase M16 inactive domain","IPR011765;IPR032632;IPR007863","Peptidase M16, N-terminal; Peptidase M16, middle/third domain; Peptidase M16, C-terminal",NA,"Y"
"2827","g23242",1.53910935173951,4.41125097995123,3.67693197868735,0.000534685850631704,0.00296431953906993,"FB",731,"scaffold_67",NA,NA,NA,NA,NA,NA,NA,"N"
"2828","g10853",-1.80139834900187,4.2612003254273,-3.67270284298804,0.000540542097819999,0.0029957271213341,"MB",944,"scaffold_519",NA,NA,NA,NA,NA,NA,NA,"N"
"2829","g7103",1.91505964706481,-0.863520597223146,3.67034273110206,0.000543837445968919,0.00301292481112438,"FB",512,"scaffold_79",NA,NA,NA,NA,NA,NA,NA,"N"
"2830","g17912",2.39035192594284,0.889275670349679,3.67012089051172,0.000544149143842417,0.00301358640687004,"FB",1193,"scaffold_429",NA,NA,"PF00379","Insect cuticle protein","IPR000618","Insect cuticle protein","GO:0042302","Y"
"2831","g20006",1.83841565349209,1.31313547616055,3.66907149650606,0.000545620553692828,0.00302066793996033,"FB",1123,"scaffold_769",NA,NA,NA,NA,NA,NA,NA,"N"
"2832","g12722",-1.59196402557373,0.835557039618508,-3.66545373675104,0.000550726365705038,0.00304685270594112,"MB",2801,"scaffold_316","FGFR3_CHICK","A0A482XBJ6","PF01403;PF07714","Sema domain; Protein tyrosine kinase","IPR001627;IPR001245","Sema domain; Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0005515;GO:0004672;GO:0006468","Y"
"2833","g20271",1.58803635092192,1.18172651492345,3.6654447637443,0.000550739087343278,0.00304685270594112,"FB",1359,"scaffold_119",NA,"A0A482XKB3","PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Y"
"2834","g19497",1.59083563301988,5.16244448422276,3.6652689783675,0.000550988368087021,0.00304715620784329,"FB",1813,"scaffold_7","CP6K1_BLAGE","A0A0L0CN56","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"2835","g3076",2.8712304839138,0.0214560991123917,3.66323889124057,0.000553898035519207,0.00306216716426544,"FB",504,"scaffold_36",NA,NA,NA,NA,NA,NA,NA,"N"
"2836","g3446",-1.45655161362109,2.08341961652049,-3.66204486813287,0.000555580074589073,0.00306938189754071,"MB",1251,"scaffold_10","VSX1_DANRE","A0A482XPP6","PF03826;PF00046","OAR domain; Homeodomain","IPR003654;IPR001356","OAR domain; Homeobox domain","GO:0003677","Y"
"2837","g3470",-3.81429344060576,1.50809276766679,-3.66245557650012,0.000555594745315064,0.00306938189754071,"MB",768,"scaffold_10",NA,NA,"PF00379","Insect cuticle protein","IPR000618","Insect cuticle protein","GO:0042302","Y"
"2838","g17955",1.44416779439642,4.20784147784795,3.65948462020545,0.000559252937818649,0.00308850292263273,"FB",637,"scaffold_226",NA,"E0W4B2","PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)","IPR004911","Gamma interferon inducible lysosomal thiol reductase GILT",NA,"Y"
"2839","g2440",2.26796984816319,1.78129839733463,3.65887028241838,0.000560138101795354,0.00309230167997132,"FB",1223,"scaffold_460","WASL_BOVIN","A0A2A4J7Y6","PF00786;PF00568","P21-Rho-binding domain; WH1 domain","IPR000095;IPR000697","CRIB domain; WH1/EVH1 domain",NA,"Y"
"2840","g12202",1.96080450956553,5.37905426520951,3.65747362649967,0.000562154488350704,0.00310196938061519,"FB",1374,"scaffold_449",NA,NA,NA,NA,NA,NA,NA,"N"
"2841","g10524",3.12039914631645,-1.01211182075517,3.65743314184162,0.000562285140708718,0.00310196938061519,"FB",382,"scaffold_103",NA,NA,NA,NA,NA,NA,NA,"N"
"2842","g22478",-2.12068938200981,3.17120010300173,-3.65652677215875,0.000563525794903773,0.00310771983938312,"MB",3546,"scaffold_228","GCY3E_DROME","A0A139WDK0","PF01094;PF07714;PF00211","Receptor family ligand binding region; Protein tyrosine kinase; Adenylate and Guanylate cyclase catalytic domain","IPR001828;IPR001245;IPR001054","Receptor, ligand binding region; Serine-threonine/tyrosine-protein kinase, catalytic domain; Adenylyl cyclase class-3/4/guanylyl cyclase","GO:0004672;GO:0006468;GO:0009190;GO:0016849;GO:0035556","Y"
"2843","g23510",1.9478431976408,1.5954382579562,3.6559768185764,0.000564323684351339,0.00311058480626343,"FB",1124,"scaffold_85",NA,NA,"PF13640","2OG-Fe(II) oxygenase superfamily","IPR005123","Oxoglutarate/iron-dependent dioxygenase","GO:0016491;GO:0055114","Y"
"2844","g1961",1.52877376509504,6.35954976243715,3.65589517131712,0.000564442237543112,0.00311058480626343,"FB",1457,"scaffold_218","VGLU1_XENLA","A0A2J7QA10","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"2845","g1849",-1.55494320878389,1.1558491982262,-3.65376007241799,0.000567551251487767,0.00312661889791486,"MB",1528,"scaffold_229","SHOX_HUMAN","J9JLC5","PF00046;PF03826","Homeodomain; OAR domain","IPR001356;IPR003654","Homeobox domain; OAR domain","GO:0003677","Y"
"2846","g18655",-2.09828124084852,4.44508021532202,-3.65309771760723,0.000568519183220109,0.00313085072333407,"MB",6397,"scaffold_45","MYCB2_HUMAN","T1HM01","PF03256;PF13639;PF08239","Anaphase-promoting complex, subunit 10 (APC10); Ring finger domain; Bacterial SH3 domain","IPR004939;IPR001841;IPR003646","APC10/DOC domain; Zinc finger, RING-type; SH3-like domain, bacterial-type",NA,"Y"
"2847","g21570",-1.4135783178384,4.99322823213303,-3.65251854652384,0.000569366778861348,0.00313441711453948,"MB",2109,"scaffold_171",NA,"J9JMW5","PF00057;PF07502","Low-density lipoprotein receptor domain class A; MANEC domain","IPR002172;IPR011106","Low-density lipoprotein (LDL) receptor class A repeat; Seven cysteines, N-terminal","GO:0005515","Y"
"2848","g4994",1.69326620644269,2.09387148356324,3.64806749903291,0.000575922450094918,0.00316939345517474,"FB",1234,"scaffold_176","LIPG_HUMAN","X1WSL9","PF12146;PF04083","Serine aminopeptidase, S33; Partial alpha/beta-hydrolase lipase region","IPR022742;IPR006693","Serine aminopeptidase, S33; Partial AB-hydrolase lipase domain","GO:0006629","Y"
"2849","g12890",-2.03889885019061,3.55573041095441,-3.6476809009005,0.000576495338421968,0.0031714325865523,"MB",1089,"scaffold_44",NA,"J9LXV1",NA,NA,NA,NA,NA,"Y"
"2850","g3423",1.63402138031899,2.94109093818863,3.64515305170646,0.000580254838471831,0.00319099441521719,"FB",2474,"scaffold_10","GCN2_YEAST","J9JTI8","PF00069;PF12745;PF13393","Protein kinase domain; Anticodon binding domain of tRNAs; Histidyl-tRNA synthetase","IPR000719;IPR024435;IPR041715","Protein kinase domain; Histidyl tRNA synthetase-related domain; Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain","GO:0004672;GO:0005524;GO:0006468","Y"
"2851","g17086",1.44703479445211,4.26194302830242,3.64426460056439,0.000581581858980698,0.00319717028263924,"FB",1561,"scaffold_219","AMT1_CAEEL","E0W0J8","PF00909","Ammonium Transporter Family","IPR024041","Ammonium transporter AmtB-like domain","GO:0008519;GO:0015696;GO:0016020","Y"
"2852","g10443",-1.55133363955118,6.91032448286507,-3.64166801190988,0.000585477222710774,0.0032174559998408,"MB",1660,"scaffold_23",NA,"J9JSB2","PF16033","Domain of unknown function (DUF4789)","IPR031993","Domain of unknown function DUF4789",NA,"Y"
"2853","g817",1.97979117383929,0.0623760107033737,3.64131198710068,0.000586013319139099,0.00321927330910168,"FB",1389,"scaffold_140",NA,NA,"PF01223","DNA/RNA non-specific endonuclease","IPR001604","DNA/RNA non-specific endonuclease","GO:0003676;GO:0016787;GO:0046872","Y"
"2854","g23509",1.5015224722124,6.49038059339018,3.64096348913321,0.000586538524201033,0.00322102953391829,"FB",1204,"scaffold_85","SOX8_HUMAN","F4X1J9","PF00505;PF12444","HMG (high mobility group) box; Sox developmental protein N terminal","IPR009071;IPR022151","High mobility group box domain; Sox developmental protein N-terminal",NA,"Y"
"2855","g9335",1.46542785629495,6.72629029692403,3.63900971239206,0.000589491555042068,0.00323611248412411,"FB",1104,"scaffold_256","ABD12_RAT","A0A067QHM6","PF00561","alpha/beta hydrolase fold","IPR000073","Alpha/beta hydrolase fold-1",NA,"Y"
"2856","g6851",1.58234847587684,1.33053590766446,3.63815104059866,0.000590793979925364,0.00324212676728649,"FB",383,"scaffold_81",NA,NA,NA,NA,NA,NA,NA,"N"
"2857","g5666",-1.30686232695135,5.80862975148758,-3.63487109201176,0.000595794887277913,0.00326842606521062,"MB",3293,"scaffold_476","ZMIZ1_MOUSE","A0A067QY48","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270","Y"
"2858","g13776",2.95468135034651,4.79459069555015,3.63449896272298,0.000596404269022568,0.00327062425066155,"FB",1682,"scaffold_719","MAL1_DROVI","A0A482WPG2","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
